     INDEX             SIGMA               VAI              VFIT
       489      0.500033E+00     -0.864344E-01     -0.167000E+01
       490      0.360930E+00      0.500906E+03      0.615449E+03
       491      0.527023E+00     -0.666579E+02     -0.568369E+02
       492      0.500451E+00     -0.117238E+01     -0.173646E+01
       493      0.201866E+00      0.191996E+04      0.134215E+04
       494      0.500256E+00     -0.666040E+00     -0.168184E+01
       495      0.500439E+00     -0.113965E+01     -0.175680E+01
       496      0.624991E-01      0.910016E+04      0.869670E+04
       497      0.428223E+00      0.217901E+03      0.308356E+03
       498      0.527816E+00     -0.685093E+02     -0.740134E+02
       499      0.499826E+00      0.452931E+00     -0.167026E+01
       500      0.240293E+00      0.140503E+04      0.137434E+04
       501      0.186324E+00      0.218854E+04      0.124992E+04
       502      0.734010E+00     -0.414454E+03     -0.440285E+03
       503      0.202403E+00      0.191141E+04      0.140150E+04
       504      0.503137E+00     -0.810480E+01     -0.153271E+01
       505      0.500208E+00     -0.541549E+00     -0.167032E+01
       506      0.514430E+00     -0.364644E+02      0.806977E+02
       507      0.500025E+00     -0.640924E-01     -0.166997E+01
       508      0.539680E-01      0.107442E+05      0.997974E+04
       509      0.499865E+00      0.352190E+00     -0.167461E+01
       510      0.509957E+00     -0.253817E+02     -0.639605E+02
       511      0.500031E+00     -0.806499E-01     -0.166981E+01
       512      0.530137E+00     -0.739014E+02     -0.128931E+03
       513      0.642887E-01      0.881064E+04      0.843017E+04
       514      0.546063E+00     -0.109662E+03     -0.139078E+03
       515      0.949650E-01      0.554462E+04      0.514917E+04
       516      0.550919E+00     -0.120154E+03     -0.131878E+03
       517      0.500024E+00     -0.635201E-01     -0.166995E+01
       518      0.542479E+00     -0.101797E+03     -0.798713E+02
       519      0.515847E+00     -0.399375E+02     -0.109217E+02
       520      0.538874E+00     -0.937819E+02     -0.610266E+02
       521      0.102965E+00      0.501280E+04      0.475770E+04
       522      0.526360E+00     -0.651046E+02     -0.544748E+02
       523      0.504376E+00     -0.112800E+02     -0.570338E+02
       524      0.500148E+00     -0.385018E+00     -0.167187E+01
       525      0.272105E+00      0.108878E+04      0.133180E+04
       526      0.499981E+00      0.495358E-01     -0.166976E+01
       527      0.572564E+00     -0.164756E+03     -0.187300E+03
       528      0.497203E+00      0.731302E+01     -0.256577E+02
       529      0.547620E+00     -0.113047E+03     -0.107846E+03
       530      0.499986E+00      0.369462E-01     -0.169343E+01
       531      0.499596E+00      0.105225E+01     -0.130003E+01
       532      0.499982E+00      0.467427E-01     -0.130932E+01
       533      0.532093E+00     -0.784092E+02     -0.872522E+02
       534      0.501999E+00     -0.517739E+01     -0.182129E+01
       535      0.780824E-01      0.702454E+04      0.660438E+04
       536      0.513009E+00     -0.329649E+02     -0.489961E+02
       537      0.500982E+00     -0.254838E+01     -0.166626E+01
       538      0.199232E+00      0.196252E+04      0.193634E+04
       539      0.501768E+00     -0.458037E+01     -0.299598E+01
       540      0.500729E+00     -0.189178E+01     -0.172744E+01
       541      0.500123E+00     -0.318926E+00     -0.167398E+01
       542      0.532181E+00     -0.786113E+02     -0.838229E+02
       543      0.499994E+00      0.157317E-01     -0.166987E+01
       544      0.201787E+00      0.192122E+04      0.213862E+04
       545      0.107175E+00      0.476486E+04      0.529511E+04
       546      0.500059E+00     -0.152498E+00     -0.167035E+01
       547      0.500125E+00     -0.325478E+00     -0.167000E+01
       548      0.500004E+00     -0.104764E-01     -0.167000E+01
       549      0.500042E+00     -0.109423E+00     -0.166905E+01
       550      0.493078E+00      0.182503E+02     -0.391038E+02
       551      0.500147E+00     -0.381740E+00     -0.167070E+01
       552      0.635239E+00     -0.276763E+03     -0.203506E+03
       553      0.288115E+00      0.956040E+03      0.856909E+03
       554      0.500029E+00     -0.763977E-01     -0.166997E+01
       555      0.506053E+00     -0.155493E+02     -0.746069E+01
       556      0.424477E+00      0.231298E+03      0.358887E+03
       557      0.535645E+00     -0.865090E+02     -0.119789E+03
       558      0.500131E+00     -0.339490E+00     -0.166993E+01
       559      0.501892E+00     -0.490153E+01     -0.249269E+01
       560      0.500204E+00     -0.530657E+00     -0.167032E+01
       561      0.474052E+00      0.711586E+02      0.259637E+02
       562      0.344670E+00      0.585863E+03      0.538022E+03
       563      0.502054E+00     -0.531884E+01     -0.450670E+01
       564      0.499787E+00      0.552925E+00     -0.166736E+01
       565      0.500057E+00     -0.147854E+00     -0.167023E+01
       566      0.499773E+00      0.591295E+00     -0.167472E+01
       567      0.469165E+00      0.854404E+02      0.625299E+02
       568      0.500383E+00     -0.993799E+00     -0.167942E+01
       569      0.530847E+00     -0.755411E+02     -0.794221E+02
       570      0.500041E+00     -0.107543E+00     -0.167000E+01
       571      0.500097E+00     -0.252342E+00     -0.156849E+01
       572      0.522008E+00     -0.548085E+02      0.231287E+02
       573      0.513432E-01      0.113599E+05      0.109913E+05
       574      0.500143E+00     -0.371104E+00     -0.166998E+01
       575      0.518473E+00     -0.463195E+02     -0.222634E+02
       576      0.500149E+00     -0.387262E+00     -0.166790E+01
       577      0.500016E+00     -0.415963E-01     -0.166987E+01
       578      0.500487E+00     -0.126488E+01     -0.179609E+01
       579      0.500061E+00     -0.157701E+00     -0.167000E+01
       580      0.514862E+00     -0.375265E+02     -0.563272E+02
       581      0.500489E+00     -0.127113E+01     -0.154376E+01
       582      0.500331E+00     -0.859973E+00     -0.167041E+01
       583      0.368685E+00      0.463020E+03      0.583278E+03
       584      0.146443E+00      0.313859E+04      0.283972E+04
       585      0.500054E+00     -0.139420E+00     -0.293040E+01
       586      0.532103E+00     -0.784329E+02     -0.194337E+02
       587      0.500142E+00     -0.368643E+00     -0.167000E+01
       588      0.500493E+00     -0.128019E+01     -0.174085E+01
       589      0.344923E+00      0.584479E+03      0.764542E+03
       590      0.500110E+00     -0.284800E+00     -0.167030E+01
       591      0.500146E+00     -0.379032E+00     -0.166999E+01
       592      0.500181E+00     -0.469501E+00     -0.167037E+01
       593      0.500677E+00     -0.175753E+01     -0.160298E+01
       594      0.112423E+00      0.448175E+04      0.517450E+04
       595      0.302738E+00      0.847073E+03      0.676390E+03
       596      0.253033E+00      0.126884E+04      0.137813E+04
       597      0.565080E+00     -0.149719E+03     -0.128102E+03
       598      0.946059E-01      0.557061E+04      0.571012E+04
       599      0.500064E+00     -0.166923E+00     -0.166997E+01
       600      0.500076E+00     -0.197412E+00     -0.167000E+01
       601      0.735691E-01      0.753523E+04      0.725160E+04
       602      0.500163E+00     -0.424247E+00     -0.166986E+01
       603      0.498648E+00      0.352391E+01     -0.209014E+02
       604      0.499943E+00      0.147534E+00     -0.166943E+01
       605      0.557361E+00     -0.133790E+03     -0.155431E+03
       606      0.557901E+00     -0.134918E+03     -0.141552E+03
       607      0.500105E+00     -0.273296E+00     -0.162540E+01
       608      0.500710E+00     -0.184259E+01     -0.162506E+01
       609      0.500234E+00     -0.607124E+00     -0.166991E+01
       610      0.500156E+00     -0.406596E+00     -0.433399E+00
       611      0.499856E+00      0.373237E+00     -0.166889E+01
       612      0.520437E+00     -0.510490E+02     -0.381921E+02
       613      0.603794E+00     -0.223474E+03     -0.157828E+03
       614      0.500299E+00     -0.776099E+00     -0.166542E+01
       615      0.502842E+00     -0.734671E+01     -0.457818E+01
       616      0.498810E+00      0.310078E+01     -0.621934E+00
       617      0.501056E+00     -0.273879E+01     -0.202908E+01
       618      0.177753E+00      0.235676E+04      0.232289E+04
       619      0.572097E+00     -0.163829E+03     -0.147411E+03
       620      0.499809E+00      0.497031E+00     -0.167400E+01
       621      0.502703E+00     -0.699100E+01     -0.364934E+00
       622      0.532044E+00     -0.782955E+02     -0.686760E+02
       623      0.505922E+00     -0.152158E+02     -0.593677E+00
       624      0.509995E+00     -0.254776E+02      0.205637E+01
       625      0.500054E+00     -0.141581E+00     -0.166993E+01
       626      0.499611E+00      0.101223E+01     -0.172427E+01
       627      0.500157E+00     -0.408170E+00     -0.166928E+01
       628      0.500990E+00     -0.256993E+01     -0.162438E+01
       629      0.500488E+00     -0.126818E+01     -0.210128E+01
       630      0.500025E+00     -0.642404E-01     -0.166966E+01
       631      0.499968E+00      0.839010E-01     -0.166822E+01
       632      0.549115E+00     -0.116276E+03     -0.907916E+02
       633      0.271569E+00      0.109350E+04      0.109540E+04
       634      0.119036E+00      0.416052E+04      0.436909E+04
       635      0.500121E+00     -0.313296E+00     -0.167000E+01
       636      0.515444E+00     -0.389510E+02     -0.312286E+02
       637      0.500068E+00     -0.175825E+00     -0.167000E+01
       638      0.500068E+00     -0.176261E+00     -0.166995E+01
       639      0.500006E+00     -0.164935E-01     -0.167014E+01
       640      0.509210E+00     -0.235140E+02      0.247921E+01
       641      0.501065E+00     -0.276350E+01     -0.226137E+01
       642      0.377618E+00      0.421317E+03      0.307841E+03
       643      0.515072E+00     -0.380410E+02     -0.289739E+02
       644      0.127680E+00      0.379084E+04      0.450944E+04
       645      0.515450E+00     -0.389667E+02     -0.620091E+02
       646      0.500011E+00     -0.289485E-01     -0.166992E+01
       647      0.294469E+00      0.907362E+03      0.732016E+03
       648      0.548209E+00     -0.114321E+03     -0.118767E+03
       649      0.532560E-01      0.109052E+05      0.981654E+04
       650      0.499673E+00      0.851054E+00     -0.163474E+01
       651      0.500009E+00     -0.226764E-01     -0.166171E+01
       652      0.507945E+00     -0.203344E+02     -0.231238E+02
       653      0.171529E+00      0.248945E+04      0.198628E+04
       654      0.500062E+00     -0.161393E+00     -0.166999E+01
       655      0.500056E+00     -0.145869E+00     -0.166996E+01
       656      0.500022E+00     -0.562836E-01     -0.166929E+01
       657      0.528323E+00     -0.696915E+02     -0.939854E+02
       658      0.501005E+00     -0.260747E+01     -0.163836E+01
       659      0.213538E+00      0.174395E+04      0.165661E+04
       660      0.500089E+00     -0.232091E+00     -0.167002E+01
       661      0.500024E+00     -0.612064E-01     -0.166902E+01
       662      0.536970E-01      0.108050E+05      0.102555E+05
       663      0.108142E+00      0.471060E+04      0.482338E+04
       664      0.500065E+00     -0.168724E+00     -0.167000E+01
       665      0.500112E+00     -0.290730E+00     -0.167015E+01
       666      0.509103E+00     -0.232441E+02     -0.940365E+01
       667      0.508764E+00     -0.223940E+02     -0.104863E+02
       668      0.500327E+00     -0.848811E+00     -0.166103E+01
       669      0.501043E+00     -0.270744E+01     -0.168621E+01
       670      0.499910E+00      0.233825E+00     -0.152807E+01
       671      0.461519E+00      0.108392E+03      0.646895E+02
       672      0.791524E-01      0.691201E+04      0.675876E+04
       673      0.499478E+00      0.135883E+01     -0.129013E+01
       674      0.500100E+00     -0.261228E+00     -0.167000E+01
       675      0.225683E+00      0.158015E+04      0.170186E+04
       676      0.505520E+00     -0.141945E+02     -0.279792E+01
       677      0.500584E+00     -0.151613E+01     -0.165687E+01
       678      0.501354E+00     -0.351095E+01     -0.167618E+01
       679      0.500005E+00     -0.117101E-01     -0.167032E+01
       680      0.500134E+00     -0.348664E+00     -0.163157E+01
       681      0.501429E+00     -0.370566E+01      0.123012E+03
       682      0.189044E+00      0.213836E+04      0.188515E+04
       683      0.365310E+00      0.479312E+03      0.588943E+03
       684      0.510126E+00     -0.258048E+02     -0.949462E-01
       685      0.502525E+00     -0.653237E+01     -0.973906E+00
       686      0.556002E+00     -0.130940E+03     -0.150594E+03
       687      0.571435E+00     -0.162512E+03     -0.162508E+03
       688      0.500512E+00     -0.132926E+01     -0.147354E+01
       689      0.505697E+00     -0.146457E+02     -0.731469E+01
       690      0.503024E+00     -0.781549E+01      0.215510E+00
       691      0.430034E+00      0.211508E+03      0.190325E+03
       692      0.595407E+00     -0.208310E+03     -0.218644E+03
       693      0.500143E+00     -0.370839E+00     -0.167000E+01
       694      0.500219E+00     -0.569594E+00     -0.166975E+01
       695      0.339909E+00      0.612275E+03      0.635892E+03
       696      0.113443E+00      0.442976E+04      0.395651E+04
       697      0.550996E+00     -0.120318E+03     -0.834104E+02
       698      0.499600E+00      0.103997E+01     -0.192020E+01
       699      0.281541E+00      0.100872E+04      0.127645E+04
       700      0.500369E+00     -0.957849E+00     -0.166888E+01
       701      0.500138E+00     -0.358179E+00     -0.167001E+01
       702      0.427435E+00      0.220701E+03      0.280491E+03
       703      0.499928E+00      0.186477E+00     -0.166903E+01
       704      0.500213E+00     -0.554622E+00     -0.166986E+01
       705      0.167925E+00      0.257078E+04      0.206189E+04
       706      0.331828E+00      0.658846E+03      0.703147E+03
       707      0.500959E+00     -0.248986E+01     -0.188084E+01
       708      0.534407E+00     -0.836989E+02     -0.804589E+02
       709      0.828232E-01      0.654804E+04      0.705387E+04
       710      0.500002E+00     -0.638053E-02     -0.167041E+01
       711      0.126758E+00      0.382787E+04      0.355144E+04
       712      0.499934E+00      0.171438E+00     -0.167246E+01
       713      0.655922E-01      0.860972E+04      0.944703E+04
       714      0.570685E+00     -0.161019E+03     -0.116646E+03
       715      0.527783E+00     -0.684326E+02     -0.563484E+02
       716      0.500069E+00     -0.180160E+00     -0.166999E+01
       717      0.500116E+00     -0.301571E+00     -0.166998E+01
       718      0.488819E+00      0.297347E+02     -0.509420E+02
       719      0.489862E+00      0.269031E+02      0.764012E+02
       720      0.536411E+00     -0.882416E+02     -0.141016E+03
       721      0.499155E+00      0.219960E+01     -0.138344E+01
       722      0.558062E+00     -0.135256E+03     -0.113428E+03
       723      0.128449E+00      0.376038E+04      0.313991E+04
       724      0.500134E+00     -0.348652E+00     -0.166995E+01
       725      0.530078E+00     -0.737658E+02     -0.472642E+02
       726      0.501857E+00     -0.481019E+01     -0.123382E+01
       727      0.500089E+00     -0.231753E+00     -0.166977E+01
       728      0.534032E+00     -0.828434E+02     -0.111136E+03
       729      0.145382E+00      0.317098E+04      0.318375E+04
       730      0.314197E+00      0.768764E+03      0.672611E+03
       731      0.944583E-01      0.558135E+04      0.586807E+04
       732      0.442270E+00      0.169689E+03      0.184658E+03
       733      0.441534E+00      0.172142E+03      0.217330E+03
       734      0.500303E+00     -0.787272E+00     -0.166597E+01
       735      0.379224E+00      0.414028E+03      0.462937E+03
       736      0.499888E+00      0.290106E+00     -0.167823E+01
       737      0.501291E+00     -0.334737E+01      0.741648E+00
       738      0.500162E+00     -0.421395E+00     -0.167056E+01
       739      0.431271E+00      0.207175E+03      0.301795E+03
       740      0.488936E+00      0.294181E+02     -0.150189E+02
       741      0.499764E+00      0.614702E+00     -0.163742E+01
       742      0.537399E+00     -0.904711E+02     -0.869746E+02
       743      0.504466E+00     -0.115087E+02     -0.960652E+01
       744      0.499393E+00      0.157893E+01     -0.150136E+01
       745      0.500317E+00     -0.824775E+00     -0.167905E+01
       746      0.509770E+00     -0.249152E+02     -0.109498E+02
       747      0.500797E+00     -0.206816E+01     -0.171195E+01
       748      0.500322E+00     -0.835528E+00     -0.162771E+01
       749      0.502646E+00     -0.684453E+01     -0.396140E+01
       750      0.502246E+00     -0.581439E+01     -0.285767E+01
       751      0.571411E+00     -0.162466E+03     -0.127249E+03
       752      0.500168E+00     -0.435584E+00     -0.166990E+01
       753      0.271569E+00      0.109350E+04      0.103646E+04
       754      0.462198E+00      0.106325E+03      0.803935E+01
       755      0.500117E+00     -0.304263E+00     -0.166999E+01
       756      0.371277E+00      0.450717E+03      0.326387E+03
       757      0.502548E+00     -0.659243E+01     -0.148959E+02
       758      0.500085E+00     -0.221515E+00     -0.150056E+01
       759      0.501487E+00     -0.385426E+01     -0.467711E+00
       760      0.500259E+00     -0.674302E+00     -0.150872E+01
       761      0.500068E+00     -0.178016E+00     -0.166973E+01
       762      0.533290E-01      0.108885E+05      0.101699E+05
       763      0.419089E+00      0.250984E+03      0.303831E+03
       764      0.500086E+00     -0.224487E+00     -0.166999E+01
       765      0.531675E+00     -0.774476E+02     -0.132554E+03
       766      0.500002E+00     -0.505103E-02     -0.166984E+01
       767      0.502837E+00     -0.733565E+01     -0.296044E+00
       768      0.592744E+00     -0.203406E+03     -0.186993E+03
       769      0.500473E+00     -0.122780E+01     -0.166227E+01
       770      0.500007E+00     -0.189609E-01      0.179630E+01
       771      0.500229E+00     -0.595485E+00     -0.166901E+01
       772      0.495846E+00      0.108913E+02     -0.804932E+01
       773      0.499801E+00      0.518405E+00     -0.167024E+01
       774      0.500189E+00     -0.490878E+00     -0.167843E+01
       775      0.500129E+00     -0.334548E+00     -0.167000E+01
       776      0.500150E+00     -0.388706E+00     -0.166636E+01
       777      0.350110E+00      0.556561E+03      0.577152E+03
       778      0.499830E+00      0.441279E+00     -0.167356E+01
       779      0.500105E+00     -0.273663E+00     -0.166995E+01
       780      0.499987E+00      0.332068E-01     -0.166998E+01
       781      0.569970E+00     -0.159589E+03     -0.194645E+03
       782      0.503008E+00     -0.777375E+01      0.467558E+01
       783      0.313660E+00      0.772307E+03      0.501231E+03
       784      0.319021E+00      0.737484E+03      0.696034E+03
       785      0.500014E+00     -0.372315E-01     -0.167000E+01
       786      0.505686E+00     -0.146169E+02     -0.424477E+01
       787      0.538443E+00     -0.928156E+02     -0.797537E+02
       788      0.500083E+00     -0.214796E+00     -0.166995E+01
       789      0.423680E+00      0.234178E+03      0.193616E+03
       790      0.500063E+00     -0.164592E+00     -0.166917E+01
       791      0.500048E+00     -0.125152E+00     -0.167049E+01
       792      0.780274E-01      0.703040E+04      0.714342E+04
       793      0.573179E+00     -0.165974E+03     -0.190791E+03
       794      0.500009E+00     -0.242010E-01     -0.166998E+01
       795      0.505365E+00     -0.138011E+02     -0.240260E+02
       796      0.602682E+00     -0.221488E+03     -0.204979E+03
       797      0.500075E+00     -0.195560E+00     -0.166999E+01
       798      0.499879E+00      0.315877E+00     -0.153205E+01
       799      0.514086E+00     -0.356203E+02     -0.286595E+02
       800      0.390361E+00      0.365126E+03      0.336813E+03
       801      0.500075E+00     -0.196093E+00     -0.167010E+01
       802      0.493669E-01      0.118667E+05      0.142514E+05
       803      0.452848E+00      0.135359E+03      0.889949E+02
       804      0.970765E-01      0.539575E+04      0.521347E+04
       805      0.499981E+00      0.503476E-01     -0.166971E+01
       806      0.500316E+00     -0.820647E+00     -0.169448E+01
       807      0.550949E+00     -0.120216E+03     -0.137543E+03
       808      0.500027E+00     -0.695497E-01     -0.166973E+01
       809      0.501932E+00     -0.500388E+01     -0.232822E+01
       810      0.610690E+00     -0.235629E+03     -0.192081E+03
       811      0.501286E+00     -0.333590E+01     -0.159030E+02
       812      0.738247E-01      0.750465E+04      0.661783E+04
       813      0.499946E+00      0.140993E+00     -0.173560E+01
       814      0.503113E+00     -0.804245E+01     -0.331083E+01
       815      0.500074E+00     -0.192929E+00     -0.166999E+01
       816      0.737147E-01      0.751779E+04      0.691128E+04
       817      0.500156E+00     -0.404274E+00     -0.167320E+01
       818      0.434446E+00      0.196159E+03      0.184186E+03
       819      0.500751E+00     -0.194873E+01     -0.161480E+01
       820      0.502874E+00     -0.742847E+01     -0.137235E+02
       821      0.501749E+00     -0.453144E+01     -0.446756E+01
       822      0.496225E+00      0.989098E+01      0.164888E+02
       823      0.501113E+00     -0.288837E+01     -0.346829E+01
       824      0.513030E+00     -0.330183E+02     -0.299119E+02
       825      0.500102E+00     -0.264652E+00     -0.167000E+01
       826      0.518596E+00     -0.466167E+02     -0.279305E+02
       827      0.342065E+00      0.600226E+03      0.548610E+03
       828      0.500149E+00     -0.387048E+00     -0.166934E+01
       829      0.537770E+00     -0.913050E+02     -0.116334E+03
       830      0.500034E+00     -0.886788E-01     -0.167290E+01
       831      0.500071E+00     -0.183346E+00     -0.166966E+01
       832      0.128143E+00      0.377246E+04      0.321523E+04
       833      0.500141E+00     -0.366725E+00     -0.166992E+01
       834      0.500021E+00     -0.541253E-01     -0.167016E+01
       835      0.499738E+00      0.682652E+00     -0.478744E+01
       836      0.508184E+00     -0.209356E+02     -0.523062E+01
       837      0.153129E+00      0.294477E+04      0.281948E+04
       838      0.499944E+00      0.145582E+00     -0.167008E+01
       839      0.235457E+00      0.146059E+04      0.126386E+04
       840      0.194103E+00      0.204873E+04      0.226982E+04
