     INDEX             SIGMA               VAI              VFIT
       113      0.500112E+00     -0.290298E+00     -0.166971E+01
       114      0.547369E+00     -0.112500E+03     -0.102532E+03
       115      0.500080E+00     -0.207851E+00     -0.166997E+01
       116      0.202716E+00      0.190646E+04      0.207722E+04
       117      0.500014E+00     -0.376917E-01     -0.166993E+01
       118      0.502208E+00     -0.571480E+01     -0.806693E+00
       119      0.500028E+00     -0.738585E-01     -0.166996E+01
       120      0.499610E+00      0.101471E+01     -0.152633E+01
       121      0.499365E+00      0.165196E+01     -0.832243E+00
       122      0.523550E-01      0.111152E+05      0.827232E+04
       123      0.500056E+00     -0.144347E+00     -0.166993E+01
       124      0.499623E+00      0.981797E+00     -0.161146E+01
       125      0.500326E+00     -0.847447E+00     -0.167912E+01
       126      0.986949E-01      0.528595E+04      0.558481E+04
       127      0.507638E+00     -0.195594E+02     -0.250976E+02
       128      0.402889E+00      0.313346E+03      0.300954E+03
       129      0.502705E+00     -0.699631E+01     -0.492436E+01
       130      0.500073E+00     -0.189971E+00     -0.167119E+01
       131      0.499863E+00      0.356254E+00     -0.170917E+01
       132      0.551611E+00     -0.121633E+03     -0.105116E+03
       133      0.505396E+00     -0.138799E+02     -0.112499E+00
       134      0.500173E+00     -0.450324E+00     -0.166983E+01
       135      0.499516E+00      0.126019E+01      0.220136E+01
       136      0.500404E+00     -0.104844E+01     -0.156441E+01
       137      0.500015E+00     -0.398693E-01     -0.166991E+01
       138      0.500043E+00     -0.112527E+00     -0.166999E+01
       139      0.499883E+00      0.305498E+00     -0.167044E+01
       140      0.503631E+00     -0.937325E+01     -0.470857E+02
       141      0.817002E-01      0.665592E+04      0.688205E+04
       142      0.500355E+00     -0.922253E+00     -0.170167E+01
       143      0.500053E+00     -0.136917E+00     -0.167348E+01
       144      0.512349E+00     -0.313347E+02     -0.169549E+02
       145      0.528619E+00     -0.703808E+02     -0.646627E+02
       146      0.739721E-01      0.748710E+04      0.685918E+04
       147      0.500372E+00     -0.966900E+00     -0.166819E+01
       148      0.501434E+00     -0.371651E+01     -0.219518E+01
       149      0.171014E+00      0.250086E+04      0.227657E+04
       150      0.500124E+00     -0.322105E+00     -0.166998E+01
       151      0.500835E+00     -0.216763E+01     -0.182859E+01
       152      0.500517E+00     -0.134401E+01     -0.189023E+01
       153      0.285070E+00      0.980144E+03      0.113360E+04
       154      0.518095E+00     -0.454030E+02     -0.286181E+02
       155      0.405754E+00      0.301955E+03      0.304257E+03
       156      0.500115E+00     -0.299317E+00     -0.167015E+01
       157      0.887208E-01      0.602636E+04      0.609995E+04
       158      0.505275E+00     -0.135713E+02     -0.408340E+01
       159      0.498988E+00      0.263723E+01     -0.352147E+01
       160      0.725234E-01      0.766262E+04      0.714043E+04
       161      0.500294E+00     -0.763016E+00     -0.166932E+01
       162      0.621470E-01      0.915908E+04      0.871879E+04
       163      0.500082E+00     -0.212804E+00     -0.167002E+01
       164      0.597480E+00     -0.212097E+03     -0.165238E+03
       165      0.582178E+00     -0.183503E+03     -0.174218E+03
       166      0.499979E+00      0.547455E-01     -0.166895E+01
       167      0.500461E+00     -0.119709E+01     -0.191665E+01
       168      0.543021E+00     -0.102994E+03     -0.502495E+02
       169      0.556346E+00     -0.131662E+03     -0.140595E+03
       170      0.105770E+00      0.484540E+04      0.504712E+04
       171      0.499742E+00      0.670664E+00     -0.165565E+01
       172      0.799907E-01      0.682595E+04      0.717531E+04
       173      0.121088E+00      0.406801E+04      0.348514E+04
       174      0.520649E+00     -0.515580E+02     -0.299032E+02
       175      0.541511E+00     -0.996557E+02     -0.134436E+03
       176      0.501180E+00     -0.305970E+01     -0.141390E+01
       177      0.500071E+00     -0.185575E+00     -0.167043E+01
       178      0.499871E+00      0.335085E+00     -0.167086E+01
       179      0.463023E+00      0.103819E+03      0.188291E+03
       180      0.114535E+00      0.437510E+04      0.402778E+04
       181      0.500106E+00     -0.274946E+00     -0.166997E+01
       182      0.500107E+00     -0.276986E+00     -0.167001E+01
       183      0.537347E+00     -0.903525E+02     -0.900885E+02
       184      0.522796E+00     -0.566844E+02     -0.621163E+02
       185      0.499920E+00      0.207290E+00     -0.168912E+01
       186      0.310105E+00      0.796064E+03      0.104332E+04
       187      0.500079E+00     -0.204172E+00     -0.167003E+01
       188      0.506202E+00     -0.159282E+02     -0.214798E+02
       189      0.499830E+00      0.441642E+00     -0.167558E+01
       190      0.499170E+00      0.216096E+01     -0.117919E+01
       191      0.846976E+00     -0.532563E+03     -0.572622E+03
       192      0.499422E+00      0.150366E+01     -0.199426E+01
       193      0.104019E+00      0.494883E+04      0.555409E+04
       194      0.498294E+00      0.445153E+01     -0.216018E+01
       195      0.500173E+00     -0.449864E+00     -0.172633E+01
       196      0.150647E+00      0.301472E+04      0.265000E+04
       197      0.501152E+00     -0.298807E+01     -0.154563E+01
       198      0.506592E+00     -0.169158E+02     -0.275526E+01
       199      0.519487E+00     -0.487658E+02     -0.343248E+02
       200      0.500101E+00     -0.263052E+00     -0.166903E+01
       201      0.500129E+00     -0.334548E+00     -0.167003E+01
