           4           6          45         192  ! atoms, atom pairs, groups/coefficients, terms
    TERM   GROUP : EXPONENTS
       1       1 :        0       0       0       0       0       0
       2       2 :        0       0       0       0       0       1
       3       3 :        0       0       0       0       0       2
       4       4 :        0       0       0       0       0       3
       5       5 :        0       0       0       0       0       4
       6       2 :        0       0       0       0       1       0
       7       6 :        0       0       0       0       1       1
       8       7 :        0       0       0       0       1       2
       9       8 :        0       0       0       0       1       3
      10       3 :        0       0       0       0       2       0
      11       7 :        0       0       0       0       2       1
      12       9 :        0       0       0       0       2       2
      13       4 :        0       0       0       0       3       0
      14       8 :        0       0       0       0       3       1
      15       5 :        0       0       0       0       4       0
      16       2 :        0       0       0       1       0       0
      17       6 :        0       0       0       1       0       1
      18       7 :        0       0       0       1       0       2
      19       8 :        0       0       0       1       0       3
      20       6 :        0       0       0       1       1       0
      21      10 :        0       0       0       1       1       1
      22      11 :        0       0       0       1       1       2
      23       7 :        0       0       0       1       2       0
      24      11 :        0       0       0       1       2       1
      25       8 :        0       0       0       1       3       0
      26       3 :        0       0       0       2       0       0
      27       7 :        0       0       0       2       0       1
      28       9 :        0       0       0       2       0       2
      29       7 :        0       0       0       2       1       0
      30      11 :        0       0       0       2       1       1
      31       9 :        0       0       0       2       2       0
      32       4 :        0       0       0       3       0       0
      33       8 :        0       0       0       3       0       1
      34       8 :        0       0       0       3       1       0
      35       5 :        0       0       0       4       0       0
      36      12 :        0       0       1       0       0       0
      37      13 :        0       0       1       0       0       1
      38      14 :        0       0       1       0       0       2
      39      15 :        0       0       1       0       0       3
      40      13 :        0       0       1       0       1       0
      41      16 :        0       0       1       0       1       1
      42      17 :        0       0       1       0       1       2
      43      14 :        0       0       1       0       2       0
      44      17 :        0       0       1       0       2       1
      45      15 :        0       0       1       0       3       0
      46      18 :        0       0       1       1       0       1
      47      19 :        0       0       1       1       0       2
      48      18 :        0       0       1       1       1       0
      49      20 :        0       0       1       1       1       1
      50      19 :        0       0       1       1       2       0
      51      21 :        0       0       1       2       0       1
      52      21 :        0       0       1       2       1       0
      53      22 :        0       0       2       0       0       0
      54      23 :        0       0       2       0       0       1
      55      24 :        0       0       2       0       0       2
