           6          15           8          91  ! atoms, atom pairs, groups/coefficients, terms
    TERM   GROUP : EXPONENTS
       1       1 :        0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
       2       2 :        0       0       0       0       0       0       0       0       0       0       0       0       0       0       1
       3       3 :        0       0       0       0       0       0       0       0       0       0       0       0       0       0       2
       4       2 :        0       0       0       0       0       0       0       0       0       0       0       0       0       1       0
       5       4 :        0       0       0       0       0       0       0       0       0       0       0       0       0       1       1
       6       3 :        0       0       0       0       0       0       0       0       0       0       0       0       0       2       0
       7       2 :        0       0       0       0       0       0       0       0       0       0       0       0       1       0       0
       8       4 :        0       0       0       0       0       0       0       0       0       0       0       0       1       0       1
       9       4 :        0       0       0       0       0       0       0       0       0       0       0       0       1       1       0
      10       3 :        0       0       0       0       0       0       0       0       0       0       0       0       2       0       0
      11       2 :        0       0       0       0       0       0       0       0       0       0       0       1       0       0       0
      12       4 :        0       0       0       0       0       0       0       0       0       0       0       1       0       0       1
      13       4 :        0       0       0       0       0       0       0       0       0       0       0       1       0       1       0
      14       3 :        0       0       0       0       0       0       0       0       0       0       0       2       0       0       0
      15       2 :        0       0       0       0       0       0       0       0       0       0       1       0       0       0       0
      16       4 :        0       0       0       0       0       0       0       0       0       0       1       0       0       0       1
      17       4 :        0       0       0       0       0       0       0       0       0       0       1       0       1       0       0
      18       4 :        0       0       0       0       0       0       0       0       0       0       1       1       0       0       0
      19       3 :        0       0       0       0       0       0       0       0       0       0       2       0       0       0       0
      20       2 :        0       0       0       0       0       0       0       0       0       1       0       0       0       0       0
      21       4 :        0       0       0       0       0       0       0       0       0       1       0       0       0       1       0
      22       4 :        0       0       0       0       0       0       0       0       0       1       0       0       1       0       0
      23       4 :        0       0       0       0       0       0       0       0       0       1       0       1       0       0       0
      24       4 :        0       0       0       0       0       0       0       0       0       1       1       0       0       0       0
      25       3 :        0       0       0       0       0       0       0       0       0       2       0       0       0       0       0
      26       2 :        0       0       0       0       0       0       0       0       1       0       0       0       0       0       0
      27       4 :        0       0       0       0       0       0       0       0       1       0       0       0       0       0       1
      28       4 :        0       0       0       0       0       0       0       0       1       0       0       0       0       1       0
      29       4 :        0       0       0       0       0       0       0       0       1       0       0       1       0       0       0
      30       3 :        0       0       0       0       0       0       0       0       2       0       0       0       0       0       0
      31       2 :        0       0       0       0       0       0       0       1       0       0       0       0       0       0       0
      32       4 :        0       0       0       0       0       0       0       1       0       0       0       0       0       0       1
      33       4 :        0       0       0       0       0       0       0       1       0       0       0       0       1       0       0
      34       4 :        0       0       0       0       0       0       0       1       0       0       1       0       0       0       0
      35       4 :        0       0       0       0       0       0       0       1       1       0       0       0       0       0       0
      36       3 :        0       0       0       0       0       0       0       2       0       0       0       0       0       0       0
      37       2 :        0       0       0       0       0       0       1       0       0       0       0       0       0       0       0
      38       4 :        0       0       0       0       0       0       1       0       0       0       0       0       0       1       0
      39       4 :        0       0       0       0       0       0       1       0       0       0       0       0       1       0       0
      40       4 :        0       0       0       0       0       0       1       0       0       1       0       0       0       0       0
      41       4 :        0       0       0       0       0       0       1       0       1       0       0       0       0       0       0
      42       4 :        0       0       0       0       0       0       1       1       0       0       0       0       0       0       0
      43       3 :        0       0       0       0       0       0       2       0       0       0       0       0       0       0       0
      44       2 :        0       0       0       0       0       1       0       0       0       0       0       0       0       0       0
      45       4 :        0       0       0       0       0       1       0       0       0       0       0       1       0       0       0
      46       4 :        0       0       0       0       0       1       0       0       0       0       1       0       0       0       0
      47       4 :        0       0       0       0       0       1       0       0       0       1       0       0       0       0       0
      48       4 :        0       0       0       0       0       1       0       0       1       0       0       0       0       0       0
      49       4 :        0       0       0       0       0       1       0       1       0       0       0       0       0       0       0
      50       4 :        0       0       0       0       0       1       1       0       0       0       0       0       0       0       0
      51       3 :        0       0       0       0       0       2       0       0       0       0       0       0       0       0       0
      52       5 :        0       0       0       0       1       0       0       0       0       0       0       0       0       0       0
      53       6 :        0       0       0       0       1       0       0       0       0       0       0       0       0       0       1
      54       6 :        0       0       0       0       1       0       0       0       0       0       0       0       0       1       0
      55       6 :        0       0       0       0       1       0       0       0       0       0       0       1       0       0       0
      56       6 :        0       0       0       0       1       0       0       0       1       0       0       0       0       0       0
      57       7 :        0       0       0       0       2       0       0       0       0       0       0       0       0       0       0
      58       5 :        0       0       0       1       0       0       0       0       0       0       0       0       0       0       0
      59       6 :        0       0       0       1       0       0       0       0       0       0       0       0       0       0       1
      60       6 :        0       0       0       1       0       0       0       0       0       0       0       0       1       0       0
      61       6 :        0       0       0       1       0       0       0       0       0       0       1       0       0       0       0
      62       6 :        0       0       0       1       0       0       0       1       0       0       0       0       0       0       0
      63       8 :        0       0       0       1       1       0       0       0       0       0       0       0       0       0       0
      64       7 :        0       0       0       2       0       0       0       0       0       0       0       0       0       0       0
